# Scores emitted by telegraphprotocol/telegraph-wasm-baseline at commit
# dfa0cf7fda72789267811ba2190f61a8eaacedf6.
# id	baseline_self_match	baseline_good	baseline_bad
fixture-001	0.816562533	0.816562533	0.234254703
fixture-002	0.816562533	0.486141801	0.141500533
fixture-003	0.816562533	0.409812987	0.181858584
fixture-004	0.816562533	0.45321396	0.191286415
fixture-005	0.803754628	0.803754628	0.182505772
fixture-006	0.803754628	0.525794983	0.0827502385
fixture-007	0.803754628	0.496715099	0.170955285
fixture-008	0.803754628	0.517933309	0.184618995
fixture-009	0.801693082	0.801693082	0.476840466
fixture-010	0.801693082	0.493354291	0.385777175
fixture-011	0.801693082	0.403312236	0.432305515
fixture-012	0.801693082	0.431061149	0.454748809
fixture-013	0.807991803	0.807991803	0.394484222
fixture-014	0.807991803	0.617684603	0.377983391
fixture-015	0.807991803	0.616532207	0.387178898
fixture-016	0.807991803	0.608034313	0.373197436
fixture-017	0.775930583	0.775930583	0.212961331
fixture-018	0.775930583	0.494613409	0.155309483
fixture-019	0.775930583	0.529499829	0.199632078
fixture-020	0.775930583	0.521636724	0.200982079
fixture-021	0.833191037	0.833191037	0.350272924
fixture-022	0.833191037	0.491328776	0.278410852
fixture-023	0.833191037	0.429313719	0.337980032
fixture-024	0.833191037	0.462419033	0.303040326
fixture-025	0.79139781	0.79139781	0.319140971
fixture-026	0.79139781	0.557947874	0.258610666
fixture-027	0.79139781	0.493958682	0.31811893
fixture-028	0.79139781	0.497943968	0.271402955
fixture-029	0.768929183	0.768929183	0.158390641
fixture-030	0.768929183	0.497709602	0.199647322
fixture-031	0.768929183	0.466140032	0.220858186
fixture-032	0.768929183	0.508793652	0.18717438
fixture-033	0.83141619	0.83141619	0.323803514
fixture-034	0.83141619	0.718643546	0.268528789
fixture-035	0.83141619	0.715825737	0.291590691
fixture-036	0.83141619	0.713644147	0.288757861
fixture-037	0.789267182	0.789267182	0.363097548
fixture-038	0.789267182	0.587661147	0.388937443
fixture-039	0.789267182	0.594553649	0.41180867
fixture-040	0.789267182	0.583619952	0.399971247
fixture-041	0.803801715	0.803801715	0.483102739
fixture-042	0.803801715	0.652237177	0.40443325
fixture-043	0.803801715	0.624480784	0.467262
fixture-044	0.803801715	0.659561992	0.481147408
fixture-045	0.812021375	0.812021375	0.0406904295
fixture-046	0.812021375	0.548433542	0.0582373478
fixture-047	0.812021375	0.570015371	0.0549184345
fixture-048	0.812021375	0.576473176	0.0611148626
fixture-049	0.808947682	0.808947682	0.373462021
fixture-050	0.808947682	0.527368248	0.222351342
fixture-051	0.808947682	0.36691612	0.330336034
fixture-052	0.808947682	0.461320937	0.325061977
fixture-053	0.803060114	0.803060114	0.368931711
fixture-054	0.803060114	0.45584625	0.290620297
fixture-055	0.803060114	0.362096339	0.358922273
fixture-056	0.803060114	0.431264102	0.343627363
fixture-057	0.815944493	0.815944493	0.332214266
fixture-058	0.815944493	0.333916336	0.226001695
fixture-059	0.815944493	0.237309769	0.297630131
fixture-060	0.815944493	0.309258819	0.268683255
fixture-061	0.810995936	0.810995936	0.547451079
fixture-062	0.810995936	0.506023288	0.543729901
fixture-063	0.810995936	0.490988195	0.571340203
fixture-064	0.810995936	0.518970668	0.592797399
fixture-065	0.82301414	0.82301414	0.472063959
fixture-066	0.82301414	0.51007539	0.308992028
fixture-067	0.82301414	0.32692793	0.400368959
fixture-068	0.82301414	0.467098504	0.393846422
fixture-069	0.810722351	0.810722351	0.541282475
fixture-070	0.810722351	0.612809718	0.495710433
fixture-071	0.810722351	0.5632689	0.531472325
fixture-072	0.810722351	0.599864066	0.538759112
fixture-073	0.809506178	0.809506178	0.327585042
fixture-074	0.809506178	0.549999595	0.325797945
fixture-075	0.809506178	0.554675817	0.321771234
fixture-076	0.809506178	0.531974792	0.325621635
fixture-077	0.754939914	0.754939914	0.201148435
fixture-078	0.754939914	0.463126302	0.155161932
fixture-079	0.754939914	0.497017592	0.175582886
fixture-080	0.754939914	0.475619346	0.178148627
fixture-081	0.785904706	0.785904706	0.224525824
fixture-082	0.785904706	0.243864521	0.152270287
fixture-083	0.785904706	0.194054931	0.229496598
fixture-084	0.785904706	0.262174845	0.188312143
fixture-085	0.84137249	0.84137249	0.45978868
fixture-086	0.84137249	0.528152883	0.414892375
fixture-087	0.84137249	0.460836798	0.446757942
fixture-088	0.84137249	0.480020583	0.480201393
fixture-089	0.793841183	0.793841183	0.401143283
fixture-090	0.793841183	0.497478902	0.362742901
fixture-091	0.793841183	0.454617083	0.376945376
fixture-092	0.793841183	0.486023426	0.377361089
fixture-093	0.814578474	0.814578474	0.278983265
fixture-094	0.814578474	0.467411578	0.218960196
fixture-095	0.814578474	0.395336628	0.297167718
fixture-096	0.814578474	0.481520981	0.240949318
fixture-097	0.811875939	0.811875939	0.249784648
fixture-098	0.811875939	0.214546219	0.171917409
fixture-099	0.811875939	0.140035421	0.231758088
fixture-100	0.811875939	0.207438231	0.213924468
fixture-101	0.818632841	0.818632841	0.118977547
fixture-102	0.818632841	0.442178398	0.0604959428
fixture-103	0.818632841	0.386174053	0.127354801
fixture-104	0.818632841	0.446291387	0.0928156674
fixture-105	0.762188137	0.762188137	0.154911906
fixture-106	0.762188137	0.640498281	0.124255434
fixture-107	0.762188137	0.639164448	0.135346994
fixture-108	0.762188137	0.635038137	0.148383394
fixture-109	0.804051995	0.804051995	0.138905793
fixture-110	0.804051995	0.495352745	0.174519375
fixture-111	0.804051995	0.517027438	0.148223802
fixture-112	0.804051995	0.512892544	0.159657478
